Questions,Correct,A,B,C,D
"A combination lock has a  combination consisting of  three numbers. Each number could be 0,1,2,3,4,....39. How many different combinations are possible?", 40 X 40 X 40=40^3,40 X 40 X 40=40^3,40  X 3=120,39X 3=117,3 X3 X 3X.........=3^40
"For some reason, you  are playing craps. The person rolling wants Little Joe. What is he hoping for?", a 4,a 12,a 2,a 4,a 14
Which casino game gives you the best chance of winning? (We assume that no cheating is involved.), Blackjack,Keno,Slot machines,Blackjack,Craps
"On average, how many tornadoes are reported in the United States annually?"," 800-1,000","2,000-2,500","3,500-4,000","3,000-3,200","800-1,000"
"In the southern part of the United States, what months are peak season for tornadoes?", March-May,March-May,June-August,January-Feburary,September-December
What time of the day do tornadoes most often strike?, 3 p.m. - 9p.m.,12 a.m. - 1 p.m.,10 p.m. - 3 a.m.,2 a.m. - 12 p.m,3 p.m. - 9p.m.
"According to the electromagnetic spectrum, which region is the most energetic?", gamma,infrared,gamma,ultra-violet (UV),radio
Duality in quantum mechanics is used to describe these two concepts.  The Schrodinger equation is in fact the essence of duality.  Which two concepts are described in duality?, particles and waves,solids and liquids,temperature and volume,liquids and gases,particles and waves
What computational device was invented in 1617?, Napiers bones,Abacus,Napiers bones,Jacquards Loom,Analytical engine
Who developed a punch card that was used with mechanical tabulating machines in the 1890 U.S. Census?, Dr. Herman Hollerith,Dr. Herman Hollerith,John Napier,Joseph Marie Jacquards,Blaise Pascal
What year was the Pascaline invented?, 1645,1601,1636,1886,1645
"Which skeletal muscle is used in blowing, whistling, and smiling?", Buccinator,Orbicularis oculi,Mandibular,Buccinator,Masseter
"Which skeletal muscle raises or throws back the shoulders, assists in moving the head to one side or another, and helps hold the head erect?", Trapezius,Platysma,Latissimus dorsi,Trapezius,Sternocleidomastoid
"Which skeletal muscle extends the foot, and is used to stand on tiptoes?", Gastrocnemius,Gastrocnemius,Hamstrings,Soleus,Tibialis anterior
Identify the true statement regarding cardiac muscle., It contracts moderately fast in response to stimulation of nerve impulses.,It contracts moderately fast in response to stimulation of nerve impulses.,It is attached to the skeleton and moves its parts.,It contract quickly in response to stimulation of nerve impulses.,It is voluntary.
Identify a true characteristic of the smooth muscle tissue., It contracts slowly in response to nerve stimulation impulses.,It is a muscle only found in the stomach.,It contracts quickly in response to nerve stimulation impulses.,It is voluntary.,It contracts slowly in response to nerve stimulation impulses.
"Which skeletal muscle moves the scapula forward, as in pushing something?", Serratus anterior,Soleus,Sartorius,Sternocleidomastoid,Serratus anterior
What term refers to wasting away or degeneration of a muscle?, Atrophy,Dystrophy,Trophy,Atrophy,Hypertrophy
What word denotes the ability of the muscle to transmit impulses?, Conductivity,Irritability,Extensibility,Elasticity,Conductivity
Identify a true characteristic of skeletal muscle.," It is striated, made up of long slender, striped cells.",It is found in the stomach and intestines.,"It is non-striated, composed of spindle shaped cells.",It is involuntary.,"It is striated, made up of long slender, striped cells."
What sea creature has 3 hearts and 8 tentacles?, octopus,sea worm,crab,octopus,squid
What is the national flower of Wales?, Daffodil,Daisy,Daffodil,Rose,Posy
What continent are tigers native to?, Asia,South America,Africa,Europe,Asia
What does a koala eat?, eucalyptus leaves,banyan tree,bamboo,eucalyptus leaves,rice
What continent is the aardvark native to?, Africa,Australia,America,Africa,Asia
Nag is slang for what animal?, Horse,Snake,Newt,Pony,Horse
"When a patient presents with a sore throat, which of the following diagnoses may indicate immediate intubation?", Epiglottitis,Mononucleosis,Quinsy,Epiglottitis,Peri-tonsillar Abscess
"All of the following medications are contraindicated during pregnancy, EXCEPT which one?", Nitrofurantoin,Tetracycline,Valproic Acid,Nitrofurantoin,Methotrexate
"If a patient over the age of 50 presents with shoulder-and pelvic-girdle muscle pain, and you suspect a diagnosis of Polymyalgia Rheumatica, what question should you ask to rule out another diagnosis which often accompanies this one?", Does your jaw hurt when you chew?,Do you get short of breath?,Does your jaw hurt when you chew?,Does it ever seem that your heart is beating fast?,Do you have tingling in your feet or toes?
"If a patient has chest pain and ST elevation in nearly all leads of the EKG, what is the likely diagnosis?", Pericarditis,Acute Myocardial Infarction,Pulmonary Embolism,Pericarditis,Pneumothorax
All of the following are treatments for rheumatoid arthritis EXCEPT which one?, Carbamazepine,Carbamazepine,Hydroxychloroquine,Gold,Prednisone
Which of the following opiates is most likely to cause seizures?, Meperidine,Morphine,Hydromorphone,Meperidine,Oxycodone
Which of the following is a possible cause of sudden-onset shortness of breath?, Both of these,Neither of these,Acute myocardial infarction,Both of these,Pulmonary embolism
Which of the following is INCORRECT?, Esophoria need not be addressed before the age of 3.,Esophoria need not be addressed before the age of 3.,Umbilical hernias almost always resolve spontaneously by the age of 5.,Acute otitis media in a child need not be treated with an antibiotic.,In epispadias the urethral meatus is superior to its normal location.
Which of the following patients should have the lowest goal low-density lipoprotein?, A 30-year-old woman with type 2 diabetes,A 60-year-old man with erectile dysfunction and a family history of coronary artery disease,A 30-year-old woman with type 2 diabetes,A 55-year-old man with colon cancer,A 50-year-old cigarette-smoking woman with familial hypercholesterolemia
Which of the following tests would be appropriate to confirm the diagnosis of B12 deficiency in a patient whose B12 level is at the low end of the normal range?, Methylmalonic Acid level,Methylmalonic Acid level,Urine Catecholamines,Folic Acid level,Haptaglobin level
Which of these is represented by the chemical formula C12 H22 O11?, sugar,sugar,salt,oxygen,baking soda
What is the chemical formula for baking soda?, NaHCO3,Co3,NaHCO3,C3H8,C12 H22 O11
What is the atomic number of the chemical element chlorine?, 17,28,83,17,9
The name of which country is derived from the Latin word for silver?, Argentina,Ecuador,Argentina,El Salvador,Albania
What star is closest to the sun?, Proxima Centauri,Procima Beta,Proxima Centauri,Alpha Centauri,Proxima Alpha
"The first examples of early Byzantine architecture, found in Ravenna and Constantinople, date from the reign of which Byzantine emperor?", Justinian I,Justinian I,Justin II,Tiberius II,Haraclius
The dome of Hagia Sophia in Istanbul (former Constantinople) is supported by how many massive piers?, 4,3,2,5,4
"The Church of the Holy Sepulchre, also called the Church of the Resurrection, is an example of Byzantine architecture, located in which city?"," Jerusalem, Israel","Moscow, Russia","Rome, Italy","Istanbul, Turkey","Jerusalem, Israel"
The Byzantine church of Hagia Irene was the seat of the Bishop of Constantinople until what year?, 415,738,404,415,564
"St Marks Basilica, a prominent example of Byzantine architecture, is located in which Italian city?", Venice,Milan,Rome,Venice,Florence
"Unlike most animals eyes, the eyes of fish and snakes usually have a fixed lens size. How do these animals eyes focus then?", By telescoping the lens,By rotating the lens,By telescoping the lens,By tilting the lens,By bending the lens
Which of these species has the most complex color vision known?, The Mantis shrimp,The Tarantula,The Bengal tiger,The Great white shark,The Mantis shrimp
What is the maximum angle of field of vision compound eyes can have?, 360 degrees,290 degrees,360 degrees,310 degrees,200 degrees
Almost all organisms on Earth have a vision restricted to small range of the electromagnetic spectrum (between 320 and 800 nm). This is considered to be a consequence of which of these evolutionary facts?, Life emerged underwater,Life emerged on another planet,The atmosphere had different composition when life emerged,"At the time when life emerged, the electromagnetic spectrum was different",Life emerged underwater
"If compared to a camera, what part of the human eye is its aperture?", Pupil,Iris,Pupil,The cones,Optic nerve
"In order to achieve the widest possible field of view, these animals have their two eyes positioned on opposite sides of their heads.", Prey animals,Prey animals,Predatory animals,Underwater animals,None of these
Stereopsis is a process in visual perception giving the organism a sensation of what?, Depth,Color,Width,Depth,Movement
Which three nations have not officially adopted the metric system?," The USA, Liberia, Myanmar","The USA, Jamaica, Libya","The USA, the United Kingdom, Malawi","The USA, Jamaica, Burma","The USA, Liberia, Myanmar"
Who was the first person to propose the idea of a metric system?, Simon Stevin,Gabriel Mouton,Simon Stevin,Napoleon,King Louis XIV
Which was the first nation to adopt a metric system?, France,Italy,Austria,France,Vatican City
"In the metric system, what unit is used to measure temperature?", degrees Kelvin,degrees Fahrenheit,degrees Centigrade(Celsius),degrees Rankine,degrees Kelvin
What unit is used in the metric system for measuring time?, the second,the second,the Ohm,the grad,the cell phone
What does the  prefix milli mean?, 1/1000,1000,1/100000,1/1000,1/100
What does the metric prefix nano mean?," 1/1,000,000,000","1,000,000","1,000,000,000","1/1,000,000,000",10
Many computer drives have a capacity of a terabit. How many bits are in one terabit?," 1,000,000,000,000","1,000",10,8,"1,000,000,000,000"
There is a unit called a Yottagram. How many grams are in one Yottagram?, 10^24,10^12,10^24,10^18,10^ -12
Which nation issued the first metric currency - a unit that was divided in 100 parts?, The USA,Italy,France,Spain,The USA
What does XML stand for?, extensible markup language,excellent markup language,extensive markup language,easy markup language,extensible markup language
When did the Nintendo system debut in the U.S.A.?, 1985,1998,1980,1985,1970
"The giant sub atomic particle collider, capable of reproducing the big bang conditions, is located in which research facility?", CERN,NASA,CERN,None of these,KAOS
"This engineer, called the father of supercomputing, has been credited with creating the supercomputer industry.", Seymour Gray,Seymour Gray,Charles Babbage,Bill Gates,Steve Jobs
Why did the U.S.A. launch the Galileo space probe?, to explore Jupiter,to explore Pluto,to explore Mercury,to explore Jupiter,to explore the sun
HCl has pH close to which one of these?, 2,2,4,14,7
What is the reaction called when an acid and a base are mixed together?, neutralization,single replacement,double replacement,neutralization,synthesis
Which two of these are produced when an acid and a base are mixed together?, water and a salt,water and a salt,water and another base,HCl and NaOH,water and another acid
"If HCl and NaOH are combined, what compound is produced other than water?", NaCl,NaCl,HNa,HOH,ClOH
What is soap?, a base with a bitter taste,an acid with a sour taste,an acid with a bitter taste,a base with a sour taste,a base with a bitter taste
What is the range of the pH scale?, (0 or 1) -- 14,14 -- 20,(0 or 1) -- 14,0 -- 7,-7 -- 0
"Fill in the missing letter in this chain that has to do with the Solar System we live in: M, V, E, M, J, _, U, N.", S,R,P,S,B
What is the name of the Galaxy that our Solar System is a part of?, Milky Way,Milky Way,The Large Magellanic Cloud,Andromeda,Hollywood
Approximately how long is one astronomical unit (1 a.u.)?," 149,597,000 km/ 92,955,266 miles","174,000,000 km /108,118,587 miles","8,000,000 km/ 4,970,969 miles","149,597,000 km/ 92,955,266 miles","878,000,000 km/ 545,563,907 miles"
Which of these values signifies the greatest temperature?, One degree Celsius,One degree Fahrenheit,One degree Celsius,One degree Rankine,One degree Kelvin
What does the abbreviation THEL stand for?, Tactical high energy laser,Thermabaric harmonic emergent light,Thermobaric high energy light,Titanium harmonic emergent laser,Tactical high energy laser
Which statement is true about airplanes?," To dive, elevators are down.","To dive, elevators are up.","To dive, ailerons are down.","To dive, elevators are down.","To dive, ailerons are up."
Taxonomy of vertebrates divides fishes into what two basic groups?, Jawed and jawless,Gilled and non-gilled,Mammalian and non-mammalian,Nematodes and non-nematodes,Jawed and jawless
What makes almost 99% of the visible universe?, Plasma,Nitrogen,Quasars,Plasma,Solids
What is an endothermic chemical reaction?, A chemical reaction in which energy is used up,A chemical reaction in which energy is released,A chemical reaction in which energy is used up,A chemical reaction in which oxides are produced,A chemical reaction in which carbon compounds are involved
"The Metal Storm weapons, that can fire tens of thousands of rounds a minute, were developed where?", Australia,Belgium,Australia,"Livermore, California","Piscatawny, New Jersey"
What do we call cells with a nucleus?, Eukaryotic,Mitochondrial,Golgi,Eukaryotic,Prokaryotic
"When buying a prebuilt (Dell, Gateway, Acer, HP etc...) computer with a hard drive capacity of 250 GB, what will the functional capacity of the hard drive display as when looking at the properties of C drive?", 232.8 GB,232.8 GB,240 GB,250 GB,249.9 GB
"If a computer system displays less memory than what is installed, what are the most likely causes for this discrepancy? ( example: a system comes with 2 GB of RAM installed but system info displays 1896 MB of RAM)"," There are a full 2 GB of ram installed, however other devices (video card etc) have been designated a portion of the system RAM to function.","There are a full 2 GB of ram installed, however other devices (video card etc) have been designated a portion of the system RAM to function.",System has 2 separate 1 GB sticks installed to equal 1896 MB of Ram. If a single 2B stick was installed it would read correctly.,RAM measurements are similar to the hard drive discrepancy in that a GB definition difference exists between the manufacturer and the operating system.,The manufacturer rounds up to the measurement to the nearest GB for ease of sale. The Operating system reads the actual amount of the chip(s).
What is FireWire?, a method of transporting data between two digital devices,a quality mouse by Logitech,a method of transporting data between two digital devices,a peer to peer sharing website for music and file sharing,a movie
"This Microsoft operating system, formerly codenamed Blackcomb and Vienna, is intended to succeed Windows Vista.", 7,Mojave,Vista,Mac OS X Leopard,7
"If a wireless network is set up in a home, yet the signal is weak in certain areas, you may buy one of these to increase the existing signal strength.", Repeater,Repeater,Modem,Router,Satellite Dish
Windows Vista commercials have boasted of the Record Live Television capability of the operating system. What is necessary to use this function?, TV Tuner Card,Optical Drive,Cable Box,Digital Television,TV Tuner Card
What is the number of amino acids commonly associated with the mammalian protein?, 20,25,23,20,46
All mammalian amino acids have which Greek letter designating their relation to the carbon atom to which different groups are attached?, Alpha,Delta,Sigma,Beta,Alpha
The carbon atom in amino acids has four elements/groups attached to it in all amino acids (except for proline). Which of the following is not among these four?, Methyl group,Carboxyl group,R-group (including another hydrogen),Methyl group,Hydrogen
Which of these people was a dentist?, Paul Revere,Thomas Alva Edison,Samuel F.B. Morse,Paul Revere,DeWit Clinton
What is true about elephant tusks?, They are highly developed incisors.,They are highly developed canine teeth.,They are not teeth.,They are not really made of ivory.,They are highly developed incisors.
Which of these animals only has molars?, Adult aardvarks,Adult penguins,Adult aardvarks,Adult  wolves,Adult minnows
Which of these animals have no teeth?, Turtles,snails,Turtles,Hares,Wombats
Which of these are heterodonts?, Humans,Snails,Humans,Turtles,Sharks
Which mammal has the most teeth?, The spinner dolphin,The spinner dolphin,The tiger seal,The dingo,The giant armadillo
Select the incorrect statement., Over 80 % of an elephants tusk is visible-the rest lies inside the gums.,Over 80 % of an elephants tusk is visible-the rest lies inside the gums.,"Aside from the elephant, the walrus has the largest tusks.",The tusks of a male elephant grow about 18 cm a year.,Biologists have found that the tooths weight and its need for muscular development has greatly influenced the development of the mammalian skull.
What is the weight of the smallest known bird egg on the planet?," 0,5 grams","2,5 grams",5 grams,"0,5 grams",1 gram
Eggs have a very high nutrition value. Which of the following substances is not present within an egg?, Chlorophyll,Chlorophyll,Phosphorus,Vitamin D,Choline
Which of the following is the Latin word for egg?, Ovum,Ovum,Avis,Cancer,Rana
The egg of this animal contains the largest existing single cell., Ostrich,Ostrich,Komodo dragon,Platypus,Emu
Which of the following is not true about the bird eggshell?, The eggshell does not contain protein.,The normal bird eggshell is porous.,The eggshell does not contain protein.,The eggshell consists of roughly 95% calcium carbonate crystals.,The bird eggshell is covered by a structure called cuticle.
How many hours approximately does an eggshell formation take in an average laying hen?, About 20 hours,About 48 hours,About 5 hours,About 20 hours,Less than 2 hours
How long does it take for a platypus egg to develop completely and hatch?, 28 days of internal formation and 10 days of external incubation,28 days of internal formation and 10 days of external incubation,15 days of internal formation and 35 days of external incubation,24 hours of internal formation and 15 days of incubation,The eggs develop within 7 days in the mothers uterus and the babies are hatched almost immediately after laying
Which of these expression does not refer to a yolkless egg?, Vain egg,Vain egg,Wind egg,Dwarf egg,Cock egg
Which of the following is not true about the egg yolk?, It contains 75% of the protein of the egg.,It contains 75% of the protein of the egg.,It is placed in a yolk sac.,Its usual color varies from pale yellow to deep orange.,It contains almost 100% of total amount of fat and cholesterol in the egg.
What is the main protein found in the egg white?, Ovalbumin,Ovalbumin,Fibrin,Gluten,Phosphoprotein
"One famous analog computer was the water integrator, which functioned by manipulation of water through a room of pipes and pumps, where the water levels represented numbers, and the rate of flow represented mathematical operations.  Which country built the water integrator?", Soviet Union,Soviet Union,Great Britain,USA,Germany
"This English mathematician, logician and cryptographer is widely regarded as the father of modern computer science.", Alan Turing,Alan Turing,Max Newman,Ada Lovelace,John Atanasoff
Which was the first implemented high-level general purpose programming language?, Fortran,Cobol,BASIC,Fortran,Pascal
"In the 1950s, these electronic components replaced vacuum tubes in the production of computers.", transistors,diodes,chips,transistors,processors
"In their third generation computers flourished, thanks Jack St. Clair Kilbys and Robert Noyces independent invention.  What did they invent?", integrated circuit (or microchip),the transistor,the first computer program,integrated circuit (or microchip),computer memory
This computer engineer and co-founder of Apple Computer is often credited with developing the first mass-market home computers., Steve Woz Wozniak,Steve Jobs,Bill Gates,John Vincent Atanasoff,Steve Woz Wozniak
Which was the first version of Microsoft Windows to support Plug and Play?, Windows 95,Windows 3.11,Windows 95,Windows XP,Windows 3.0
"If the optimal body habitus for hot climates is tall and slender, what is one possible condition explaining pygmies?", Humidity,Ice ages,Humidity,Rain,Low atmospheric preasure
Which of the following is correct?," Primates include Monkeys, Pro-Simians, and Apes.  Apes include Orangutans, Gorillas, Chimpanzees and Humans.","Primates include Gorillas, Monkeys and Humans.  Monkeys include Pro-Simians and Chimpanzees.","Primates include Monkeys, Pro-Simians, and Apes.  Apes include Orangutans, Gorillas, Chimpanzees and Humans.","Primates include Apes and Pro-Simians.  Pro-Simians include Humans.  Apes include Gorillas, Orangutans and Monkeys.","Primates include Humans, Pro-Simians and Apes.  Apes include Orangutans, Gorillas, and Monkeys."
Which of the following modern diseases evolved as a protection against malaria?, Sickle Cell Anemia,Asthma,Sickle Cell Anemia,Lactose Intolerance,Tay Sachs
"Which of the following primates is the closest related to humans?  (That is, this primate has more DNA in common with humans than any other living creature does.)", Chimpanzee,Lemur,Chimpanzee,Gorilla,Orangutan
African Americans are more likely to suffer from hypertension (high blood pressure) than European Americans.  Why?," Enslaved individuals were transported from Africa in the holds of ships, and given very little water.  Those whose bodies conserved salt were more likely to survive the journey.  Salt exacerbates high blood pressure.","Enslaved individuals were transported from Africa in the holds of ships, and given very little water.  Those whose bodies conserved salt were more likely to survive the journey.  Salt exacerbates high blood pressure.",Rap music raises blood pressure.,African Americans eat more salty food than European Americans do.,"In tropical climates, one sweats a lot.  This results in water loss, which lowers blood pressure.  Africans therefore conserve salt more efficiently than Europeans.  In the United States, however, where it is cooler, this characteristic leads to high bloo"
"Dark skin contains melanin, which is a dark pigment in the skin.  The purpose for melanin is to protect the skin from harmful effects of ultraviolet sunlight, which include skin cancer.  What evolutionary advantage does light skin have?", Light skin lets in more sunlight.  Sunlight catalyzes the formation of Vitamin D.,"Light skin lets in more sunlight, which allows a person in colder climates to get warm more easily.",Light skin lets in more sunlight.  Sunlight catalyzes the formation of Vitamin D.,Light skin tans more easily.  This makes the person more attractive and therefore facilitates mating.,"Light skin is more attractive, which makes the person better able to attract a mate."
"Mitochondrial DNA has been analyzed to estimate the ancestral lineage of various species around the world, including primates.  Which of the following statements about mitochondria is true?"," Mitochondria are descended from once-separate, single-celled organisms which invaded a cell, stuck around, then lost their ability to live independently.",Mitochondrial DNA does not mutate.,Mitochondria function in the cell to break down waste products.,"Mitochondria are descended from once-separate, single-celled organisms which invaded a cell, stuck around, then lost their ability to live independently.",Mitochondrial DNA is only inherited by males.
"The Arecibo Observatory, located approximately 12 miles south-southwest from Arecibo, Puerto Rico, is notable for owning the worlds largest single-aperture telescope of this type.", Radio telescope,Dioptric telescope,Radio telescope,Catadioptric telescope,Catoptric telescope
"The main purpose of the observatory located on the north shore of Big Bear Lake in the San Bernardino Mountains, California is studying what?", The Sun,Pulsars,Black holes,The Moon,The Sun
The Hubble Space Telescope in orbit around the Earth has become one of the most important telescopes in the history of astronomy since its launch in 1990. It doesnt work in which one of these wavelength regimes?, Radio,Optical,Ultraviolet,Near-infrared,Radio
Which of the following historical sites did not serve as a kind of observatory in the past?," The Great Sphinx of Giza, Egypt","Abu Simbel, Egypt","The Great Sphinx of Giza, Egypt","Stonehenge, Great Britain","Kokino, Republic of Macedonia"
Which of these islands is known as the location of numerous important world observatories?, Hawaii,Okinawa,Cyprus,Hawaii,Madagascar
"This observatory, located at Mauna Kea, Hawaii, uses two telescopes equipped with adaptive optics.", W. M. Keck Observatory,Paranal Observatory,W. M. Keck Observatory,Observatorio Nacional de Llano del Hato,Roque de los Muchachos Observatory
"The Very Large Array (VLA) is a radio astronomy observatory located on the Plains of San Augustin, USA, consisting of what number of separate radio antennae?", 27,35,12,27,19
"NASAs Chandra space observatory launched on July 23, 1999 uses what type of telescopes?", X-ray telescopes,Optical telescopes,Infrared telescopes,X-ray telescopes,Radio telescopes
"All planets, comets and asteroids orbit around the Sun.  What percentage of the Solar Systems mass does the Sun account for?", 99.8%,around one-half,99.8%,86.2%,around 10%
"This tasteless, colorless and odorless chemical element makes up most of the Suns volume (approx. 92%).", Hydrogen,Chromium,Magnesium,Oxygen,Hydrogen
"The surface temperature of the Sun is 5,780 K, which makes it white.  Why does the Sun appear yellow from the surface of the Earth?", because of the blue color of the sky,due to the electromagnetic radiation,because of the distance the light travels,because of the blue color of the sky,because of our eyes inability to see light  in that range
What is referred to as the solar apex?, the direction the Sun travels through space,the highest point the Sun reaches during the day,the warmest day of the year as measured on the equator,the direction the Sun travels through space,the highest UV reading taken from the earths surface
"Ancient Greek astronomer Aristarchus was the first person to present the theory that the sun is at the center of the solar system (heliocentrism).  However in the 16th century, this Polish astronomer was first to formulate a scientifically based heliocentric study.", Nicolaus Copernicus,Giovanni Cassini,Thomas Harriot,Nicolaus Copernicus,Galileo Galilei
"Most cultures have a solar diety, someone who represents the Sun.  Who is the chief solar diety in Hinduism?", Surya,Krishna,Brahman,Ishvara,Surya
This is the most diverse and abundant group of organisms on Earth. Its members reproduce so fast that they can double their number as quickly as every 10 minutes., Bacteria,Bacteria,Viruses,Algae,Fungi
Which of the following is the natural habitat of the bacteria?, All of these,The air and sea water,All of these,Earths surface and fresh water,Underground and the icebergs
Name the longest bone in the body., Femur,Femur,Fibula,Tibia,Humerus
"The largest semilunar cartilages, also called the menisci, are located in this part of the body.", Knee,Knee,Jaw,Shoulder,Hip
What is the most common reason for water waste?, Showers,Washing Machines,Showers,Dish Washers,Brushing your teeth
The planet Mars is named after which of the following?, Roman God of War,A Candy Bar,Roman God of Peace,Roman God of War,Greek God of the Sea
Mars has two natural satellites. What are their names?, Phobos and Deimos,Phobos and Deimos,Vulcan and Apollo,Tom and Jerry,Zeus and Hara
Mars takes about how many Earth days to travel once around the Sun?, 687,243,687,466,890
The atmosphere of Mars is mostly composed of what element?, Carbon Dioxide,Methane,Oxygen,Hydrogen,Carbon Dioxide
What was the name of the first spacecraft to study Mars?, Mariner 4,Viking 1,Mars 2,Viking 2,Mariner 4
Mars has the tallest known mountain in the Solar System. What is its name?, Olympus Mons,Arsia Mons,Syrtis Major,Olympus Mons,Tharsis
"Located along the Martian equator, Valles Marineris is a canyon much bigger than the Grand Canyon on Earth. How long is it?"," 4,000 km long.","4,000 km long.",750 km long.,Just under 500 km long.,"2,500 km long."
What type of weather pattern on Mars can obscure the surface from view?, Dust Storms,Thunder Storms,Dust Storms,Hurricanes,Snow Storms
What astronomer was the first to see canali on the surface of Mars?, Giovanni Shiaparelli,Sir Isaac Newton,Giovanni Shiaparelli,Galileo,Percival Lowell
When was fibromyalgia recognized as an illness by the American Medical Association?, in the 1980s,in the 1990s,in the 1960s,in the 1970s,in the 1980s
Which of the following areas of the body is not considered a tender point in the diagnosis of fibromyalgya?, Ankles,Knees,Shoulder Blades,Ankles,Hips
Which one of these objects does Perseus contain?, NGC 1499,M45,M101,NGC 1499,PSR 0329+54
What kind of Galaxy is the Milky Way?, Barred Spiral,Elliptical,Spiral,Barred Spiral,Irregular
Which of these will our Sun eventually become?, Planetary Nebula,Neutron Star,Black Hole,Emission Nebula,Planetary Nebula
What is the most distant object you can see unaided under the best possible conditions?, Triangulum Galaxy(M33),Triangulum Galaxy(M33),Andromeda Galaxy(M31),The Large Magellanic Cloud,The Whirlpool Galaxy(M51)
What is a fast-spinning neutron star that emits pulses of radio waves called?, Pulsar,Millisecondar,White Dwarf,Pulsar,Magnetar
Which quasar is the brightest as seen from Earth?, 3C 273,PSR0031-07,PKS0405-123,OQ 172,3C 273
Which transit of planets against the Sun obscures the most of its disk?," Transit of Jupiter, viewed from Saturn","Transit of Jupiter, viewed from Saturn","Transit of Earth, viewed from Mars","Transit of Uranus, viewed from Neptune","Transit of Saturn, viewed from Uranus"
In which constellation did the brightest (Apparent magnitude -9) supernova occur?, Lupus,Crater,Lupus,Antlia,Hydra
Which of these most closely describes a Mira Variable?, A red star that pulsates once more than 100 days and changes by more than a magnitude,A variable that is in the constellation of Mensa,"A star that suddenly brightens, dims, then is never as bright again",A red variable with an extreme change in brightness with a short pulsation period,A red star that pulsates once more than 100 days and changes by more than a magnitude
Which planet has an apparent magnitude of  -2.8 to -1.6?, Jupiter,Venus,Mercury,Jupiter,Mars
Which of these smoking devices operates by water-filtration and direct heat?, All of these,Hookah,All of these,Water pipe,Hubble-bubble
"This 2003 independent film, directed by Jim Jarmusch, consists of eleven short stories, which focus on coffee and cigarettes.", Coffee and Cigarettes,Buttermilk and Cigarettes,200 Cigarettes and Black Coffee,None of these,Coffee and Cigarettes
Approximately how many different chemicals does a smoker inhale with one drag on the cigarette?, over 4000,about 2000,about 200,over 4000,between 500 and 1000
"Which is the first US national antismoking coalition, formed in 1964?", National Interagency Council on Smoking and Health,Action on Smoking and Health,National Interagency Council on Smoking and Health,None of these,National Clearinghouse for Smoking and Health
"The World No Tobacco Day, a global event sponsored by the World Health Organization, is held annually on which day?", May 31,May 31,March 31,April 31,January 1
This type of tobacco is the mildest of all blending tobaccos and has the highest level of natural dextrose., Virginia,Perique,Burley,Latakia,Virginia
"This rare, slow burning, strong-tasting tobacco is used as a component of many blended pipe tobaccos, but is too strong to be smoked pure.", Perique,Havana,Virginia,Perique,Cavendish
Which of these cigarette brands is produced by Philip Morris International?, All of these,LM,All of these,Marlboro,Parliament
"What caused the death of Wayne McLaren and David McLean, famous for appearing in many Marlboro television and print advertisements?", Lung cancer,Lung cancer,Car crash,Horse accident,Fire caused by a cigarette
How many fluid ounces do 48 quarts equal?," 1,536","1,563","1,536","1,635","1,653"
How many eggs are in 1 gross?, 144,144,96,12,48
"Using the apothecary system, how many grains are in 4 drams?", 240,240,200,180,220
"If a person bought a 5.05 acre tract, how many square feet would be in the 5.05 acre tract?"," 219,978","217,800","217,500","219,675","219,978"
A woodcutter chopped down enough trees to have 896 cubic feet of firewood. How many cords did he chop?, 7,6,4,7,5
"A pharmacist was compounding a mixture for a topical antibiotic. Using the apothecary system, how many pounds did he make if the end product resulted in having twenty-four 3.5 ounce tubes?", 7 pounds,6.5 pounds,5.25 pounds,6 pounds,7 pounds
How many pecks are in 8 bushels?, 32,32,16,36,24
"In order to always have exact change (using U.S. currency) and using the least amount of coins but having at least one of each coin, how many pennies, nickels, dimes and quarters do you have to carry? (The 50 cent piece is excluded)."," 3 quarters, 1 dime, 2 nickels, 4 pennies","3 quarters, 1 dime, 2 nickels, 4 pennies","2 quarters, 1 dime, 1 nickel, 4 pennies","3 quarters, 2 dimes, 1 nickel, 4 pennies","2 quarters, 3 dimes, 2 nickels, 4 pennies"
"In which unit measuring system do 2,240 pounds equal 1 ton?", British,Avoirdupois,Both avoirdupois and British,British,None of these
A chain is a unit of measure used primarily in profession?, Surveyor,A man in control of letting down the anchor on a ship,Lumberjacker,Fence installer,Surveyor
The human laryngeal prominence got its common name from this biblical figure., Adam,Jacob,Abraham,Joseph,Adam
"The organ of Corti, named after Alfonso Corti, is located in this body part of mammals.", Inner ear,Forebrain,Inner ear,Mammary gland,Eye
"In what part of the human body are the Wormian bones, named after Ole Worm, located?", Cranium,Thorax,Mandible,Pelvis,Cranium
"What type of cells are the Purkinje cells, named after Czech anatomist Jan Evangelista Purkyne?", Neurons,Epithelial cells,Osteoblasts,Neurons,Smooth muscle cells
What type of glands are the Glands of Montgomery?, Sebaceous glands,Lacrimal glands,Sebaceous glands,Sudoriferous glands,Salivary glands
The Fallopian tubes are part of this system in the human body., Reproductive system,Digestive system,Reproductive system,Urinary system,Respiratory system
In what internal human organ are the islets of Langerhans located?, Pancreas,Spleen,Pancreas,Liver,Kidney
In what part of the human body is the bundle of His located?, Heart,Heart,Lungs,Testicles,Brain
Clara cells are found in this part of the human body., Lungs,Lungs,Tongue,Inner ear,Eyes
