Questions,Correct,A,B,C,D
The program components named coroutines generalize the widely known subroutines by allowing multiple return values.,B,True,False,,Q The halting problem computability theory was solved in what year?
The water cycle is the continuous movement of water above and below the surface of the planet. What is this process also known as?,B,Hydroscopic cycle,Hydrologic cycle,Hydrographic cycle,Hydrodynamic cycle
Which of effect of these is the main reason for the existence of the water cycle on Earth?,D,Thermal energy in the Earths core,Gravitational forces,The Moon,The Sun
Water can be found in three main states on Earth. Which of the following is not one of them?,C,Ice,Liquid,Crystal,Vapor
Which of these is not one of the state-changing processes through which water goes in nature?,A,Concentration,Condensation,Precipitation,Sublimation
Evapotranspiration is a term connected to which of these groups?,A,Plants,Animals,Water basins,Rocks
Which of the following is not possible to happen to water in its different states?,D,Vapor to condense into clouds,Ice to sublimate into water vapor,Snow to sublimate into water vapor,All of these are possible
Which line contains only types of precipitation?,C,"Snow, vapor, fog drip, hail","Rain, fog drip, runoff, sleet","Graupel, sleet, snow, hail","Snow, ice, hail, rain"
On which of these factors does the total amount of water on Earth at a certain moment depend?,A,None of these,Time of the day,Distance from the Sun,Season
Ice caps and glaciers are the second largest water reservoirs on Earth after oceans. What percent of the planet’s water do they hold?,C,18 %,10 %,2 %,5 %
What would be the Earth like without evaporation?,D,Cooler,None of these,Greener,Warmer
How many people die of air pollution around the world each year?,D,"500,000","50,000",1 million,3 million
"This pollutant causes inflammation of the lungs, impaired breathing, coughing, chest pain, nausea, and throat irritation and permanent damage to lung tissue in long term exposure.",A,Smog,Greenhouse gas,Carbon dioxide,Ozone
"This gas is produced mainly by automobiles. It hiders the bodys ability to carry oxygen in the blood, causing serious problems for people with cardiovascular diseases.",C,Acid sulfates,Carbon oxide,Carbon monoxide,Carbon dioxide
"This type of pollutant causes acidification of rivers, lakes and also damages tree foliage and degrades soil quality.",A,Acid rain,The melting of the poles,The Ozone hole,Global warming
Pollution has damaged this great Chinese ancient attraction and it continues to disintegrate.,A,The Terracotta Warriors,The Forbidden City,Tiananmen Square,The Great Wall
"Modern cars pollute much less than cars did in the 60s. Today, it takes this many modern cars to produce the same amount of air pollution as a car from the 60s.",A,20,5,10,35
"When burning fuel for energy, small particles are thrown into the air that are visible in the form of smoke.  It is called this type of pollution.",D,Outdoor pollution,Water pollution,Indoor pollution,Black carbon pollution
The average temperature around the world has climbed during the previous century due to global warming by this much.,C,3 degrees Fahrenheit,4 degrees Fahrenheit,1 degree Fahrenheit,2 degrees Fahrenheit
"This defect of Earths atmosphere, caused by industrial pollution, lets more radiation reach the surface of our planet.",C,The Greenhouse Hole,The Smoke Hole,The Ozone Hole,Smog Tear
The distribution of this substance into water is often deadly for seabirds as it destroys the structure of its feathers.  Thus cold water quickly reaches the skin and the bird often freezes to death.,C,Carbon dioxide,Carbon monoxide,Oil,Pesticides
Osteology is an important part of physical and forensic anthropology. What does an osteologist study?,D,skulls,blood,dead  bodies,bones
What does a philologist study?,D,signs and  symbols,art,detectives,language
What does a cetologist study?,D,wine,words,art,whales
Which word means the study of drug action?,B,enology,pharmacology,chirology,physiognosy
"If you studied petrology, where would your interests lie?",C,petroleum,microbes,rocks,veins
Which of these is the study of cells?,C,protozoology,cellogy,cytology,ecology
Which of these is the study of knowledge?,B,rheology,epistimology,pulicology,dialitology
Which of these is the study of Mars?,A,areology,ombrology,marsology,astrolgelogy
What does an auxologist study?,B,money,growth,flags,meteorites
Which is the correct pairing?,D,symbology - the study of percussion instruments,oncology - the study of microbes,graminology - the study of grammar,oneirology - the study of dreams
Which ancient Greek historian is considered the Father of History?,C,Socrates,Plato,Herodotus,Demitrios
"Because of introducing a classification scheme for distinguishing living organisms, Carolus Linnaeus is known as the father of what field of science?",D,Zoology,Palentology,Botany,Taxonomy
"This person is considered as the Father of Computer, as he invented a counting machine called The Difference Engine.",C,John Vincent Atanasoff,Blaise Pascal,Charles Babbage,Argani Alunan
Who is regarded as the Father of Mathematics?,C,Euclid,Ernest Rutherford,Archimedes,Rene Descartes
Edgar Allan Poe is known to be the father of detective stories. What was he often characterized as?,D,Womanizer,Homosexual,Melancholic,Alcoholic
Myorrhexis is a very painful condition and can occur when you overexert. What is characteristic of this condition?,C,Softening of a bone.,A vertebra is out of its joint or is dislocated,Rupture or tearing of a muscle.,Degeneration of cartilage.
What is the medical term for a nosebleed?,A,Rhinorrhagia,Rhinitis,Rhinomycosis,Rhinodynia
The endocrine system is made up of glands. Aden(o) means glands; adren(o) means the adrenal glands. What term means enlargement of the adrenal glands?,B,Adrenalitis,Adrenomegaly,Adrenotoxin,Adrenopathy
What is the closest point to the sun in the Earths orbit called?,D,Aphelion,Summer Solstice,Autumnal Equinox,Perihelion
The moon orbits eastward around the Earth.,B,False,True,,"Q During a new moon phase, is the moon visible?"
During which lunar phase is the moon least visible?,C,First Quarter,Full Moon,Waxing Crescent,Waxing Gibbous
Did Galileo Galilei invent the first telescope?,B,Yes,No,,Q When was the Hubble Space Telescope put into orbit by the Space Shuttle?
The stars remain in the sky during the day.,A,True,False,,"Q During  first quarter moon, what time does the moon rise?"
What unit in the metric system do astronomers use to measure the wavelength of light?,A,nanometer,eccentricity,photon,equant
"In order to be classified as a Category 5 hurricane, the storm must have what winds speeds?",D,135mph,125mph,145mph,155mph
About how many lightning bolts strike the Earth each second?,B,"1,500",100,"1,000","3,000"
This construction in the United States is struck by lightning around 500 times a year.,C,Pentagon,Statue of Liberty,Empire State Building,Golden Gate Bridge
Warm weather brings high pressure systems.,A,False,True,,Q Who created the Fujita scale in the late 1960s?
"Its the middle of July. You are in Louisville, KY, USA and you cross over the Ohio River into Jeffersonville, IN. You have effectively gone:",C,Forward in Time,Time Stands Still,Backwards in Time,You have broken the time continuum
"In the summer months, a clock located in Indianapolis, IN, USA will show a different time than a clock located in Paducah, KY.",B,True,False,,"Q A worker at a Riverboat Casino in Ohio near Cincinnati gets off the late shift at 12 Midnight, and arrives home in Indiana at Midnight. This worker lives about an hour away. Is this possible?"
Youre crossing Hoover Dam from Nevada into Arizona (USA) during the Winter months (after Oct 31st).  Will you change Time Zones?,B,No,Yes,,"Q You live in Ossining, NY, USA  and you call your friend in Honolulu, Hawaii. Its the month of May. How many hours time difference are there between these 2 locales?"
"Referring to the previous question, if its 6:00 P.M. in Ossining, NY, what time is it in Honolulu, Hawaii?",C,3:00 PM,12 Midnight,12 Noon,"Time to surf, Brah!"
"Its your Birthday, and youre in Tokyo. Later that calendar day, you board a flight for Los Angeles. Will you be able to celebrate your birthday twice?",A,Yes,No,,"Q The state of Tennessee, USA has 2 Time Zones."
"A flight attendant lands at OHare Airport in Chicago, in the winter months, and drives to Gary, Indiana. Will he or she have to reset his/ her watch upon arrival in Gary?",A,No,Yes,,Q Which of the following fast food meals has the most calories?
"Subways 12-inch Cold Cut Combo Sub on white bread is higher in calories, fats and carbohydrates then Hardees Big Roast Beef.",B,False,True,,Q Which of the following meals is the best source of fibers?
"Blimpie’s Best 12-inch Sub on wheat is higher in total calories, carbohydrates, and fats than a McDonalds Big Mac.",A,True,False,,Q Which of the following fast food items provides the consumer with the greatest amount of calories from fat?
Hardees medium sized Strawberry Shake (Hand-dipped) is higher in fats and total calories than Wendys medium sized Frosty Dairy Dessert.,A,False,True,,Q Which of these salads has the lowest amount of carbohydrates and sugar?
One slice (139g) of Dominos Classic Hand Tossed Veggie Feast pizza has more calories than Arbys Ham Biscuit (Breakfast Sandwich).,B,False,True,,Q Which of the following sauces provides the highest percent of calories from fat?
"The number of total calories, carbohydrates, fats, and sodium per serving is reported to be highest in which of the following meals?",B,Burger King  WHOPPER JR.,Hardees Kids Meal - Slammers,McDonalds Cheeseburger,Wendys Jr. Hamburger
"Silver and gold are in the same group on the periodic table. What group are they in and what are their atomic symbols, respectively?",D,"Group 12, Ag and Au","Group 14, Au and Ag","Group 13, Au and Ag","Group 11, Ag and Au"
Inert gases are found in Group 18 of the Periodic Table. Which is the inert gas with atomic number 54?,B,Rn,Xe,Kr,Ar
"Lanthanoids and actinoids are not included with the rest of the periodic table for convenience. Which series of elements are found in these two series, respectively?",B,"Ba - Lu, Ra - Lr","La - Yb, Ac - No","La - Ac, Ac - Lu","Fr - La, Cs - Ac"
"Which element was NOT discovered at the University of California in Berkeley, CA, USA?",D,Es,Fm,Cf,Yb
"The element with the symbol Sg is named after an American nuclear chemist and Nobel prize winner, Glenn T. Seaborg.",B,False,True,,Q This element was discovered in 1825 by Hans Christian Oersted and is used in the production of cans for soft drink.
"The mathematical constant e, one of the most important numbers in mathematics, is equal to which of these fractions?",D,22/7,278/10,271828/10000,none of these
Which of these statements best describes the mathematical constant  e?,C,It is a transcendental number.,It is an algebraic transcendental and irrational number.,It is a transcendental and irrational number.,It is a rational transcendental number.
Why was the letter e” chosen to denote the important mathematical constant e?,C,It was arbitrarily chosen by Latin scholars.,Its the first letter of a mathematicians name.,It stands for exponential.,The first 4 letters of the alphabet were already taken.
"e^(pi*i) +1 = 0 is an important formula, involving the key mathematical constant e, which is popularly known as what?",A,Eulers Equation,Einsteins Equation,The Hyperbolic Cosine Law,Newtons Equation
The constant e is present in countless fields of mathematics but its most significant function is related to its use in what?,B,The characteristics of unitary matrices,The base of natural logarithms,The mantissa of common logarithms,The limiting value of the sum of the squares of the odd numbers
What significant discovery about the nature of the constant e did French mathematician Charles Hermite make in 1873?,B,e is algebraic.,e is transcendental.,e^pi is transcendental.,e is irrational
What is the derivative of y in this function related to the exponential constant e: If y=e^x?,A,e^x,e^x +x,e^pi,e
"In Roman numerals, what is the symbol for 1000?",B,L,M,C,D
Change the Roman numeral XL to a Hindu-Arabic numeral.,A,40,70,50,60
Identify the property used in this addition equation: 678 + 45 = 45 + 678.,D,Associative property,Distributive property,Identity property,Commutative property
Which is the mathematical property used in this addition equation: (57 + 63) + 14 = 57 + (63 + 14)?,C,Commutative property,Distributive Property,Associative property,Identity Property
What is the name of the property used in this addition equation: 12 + 0 = 12?,D,Associative property,Distributive property,Commutative property,Identity property
What is the greatest common factor (GCF) of 24 and 36?,B,16,12,6,14
"What is the least common multiple (LCM) of 5, 6, and 10?",B,20,30,10,15
"What kind of fractions are 4/4, 9/8, and 7/4?",B,Proper fractions,Improper fractions,Similar fractions,Dissimilar fractions
Which of these are considered the two developers of the modern calculus?,D,Newton and Gauss,Euler and Cauchy,Newton and Euler,Newton and Leibnitz
What are the two basic processes in calculus?,C,Finding maxima and minima and solving second degree equations,Composition and convolution,Integration and derivation,Solving equations of sixth and seventh degrees
When we find the extrema of a function we use this.,C,The solution of the sixth degree equation,The solution of the second degree equation,The first derivative,The third derivative
Which statement is not  true about functions?,B,For some functions we can not find a maximal value.,A function is always written as a polynomial.,A function is a type of relationship between two sets.,A one-to-one relationship is a type of function.
"When you study calculus, you usually also study this branch of geometry.",C,Bolyai geometry,Discrete geometry,Analytic geometry,Riemannian  geometry
In calculus we never use complex (or imaginary) numbers.,A,False,True,,"Q Consider this infinite series: 1/2+1/4+1/8+1/16+1/32 +.... If we add all these terms, what do we get?"
After the proof of a mathematical theorem we often see the letters Q.E.D. Do these letters stand for Quite easily Done.?,B,Yes,No,,Q What is the minimum value of the function y= x^2+3x-1?
"Guess the missing number from the following sequence: 3,6,7,14,15 ___, 31,62, 63. 126, 127.",A,30,17,16,28
"What is the missing number in the following sequence:  4, 20, 24, ___, 44, 60, 64?",B,28,40,30,32
"What number is missing from the following sequence:  5,10,20, ___, 50, 55, 110?",A,25,30,40,35
"Guess the missing number from the following sequence: 12, 24, 48, ___, 120, 240, 264?",C,80,60,96,72
"Find the missing number in the following sequence: 6, 18, 36, ___, 216, 648, 1296.",A,108,180,72,54
"Find the missing number in the following sequence: 11, 16, 32, ___, 74, 79, 158.",C,64,38,37,69
"Guess the missing number in the following sequence: 15, 30, 40, ___, 90, 180, 190.",D,55,45,50,80
"Find the missing number in the following sequence:  8, 16, 28, 44, ___, 88, 116, 148, 184.",C,48,56,64,52
"Guess the missing number in the following sequence: 3, 6, 18, 36, ___, 216, 234, 468, 1404.",C,108,54,72,39
"Find the missing number in the following sequence: 10, 20, 100, ___, 280, 560, 640.",B,110,200,180,270
"The term clone, originally used in botany before it entered molecular genetics, means what in Greek?",D,Twin,Copy,Root,Twig
"Cloning, the process of creating an identical copy of an organism, is only attainable by artificial means.",A,False,True,,Q Which of the following statements about the process of cloning is not true?
"How many unsuccessful attempts did it take to finally create Dolly, the first successfully cloned mammal?",B,76,276,19,154
"Prometea, an example of successfully cloned mammal, was what type of animal?",D,Cat,Pig,Rabbit,Horse
"The first successful experiment in which a cloned animal embryo reached an adult state, was carried out in what year?",A,1952,1907,1973,1926
"Substance vital for treating what hereditary blood defect that occurs almost exclusively in males, has been produced by cloning?",C,Anemia,Hemoglobinopaties,Hemophilia,Thalassemia
What prevents scientists from fulfilling one of science fiction writers dreams - to clone a dinosaur?,B,The lack of knowledge about their embryonal development,The need for a mother from a closely related species,The difference in environmental conditions now and then,Lack of live dinosaur tissue
Cloning and the boundless possibilities it offers is a challenging topic for scriptwriters imagination. All but one of these science fiction movies involve cloning in their plots.,C,Jurassic Park,The 6th Day,The Green Mile,The House of the Scorpion
Which of these can be defined as a clones biological mother and father?,A,None of these,The egg cell donor and the surrogate mother,The egg cell donor and the surrogate mother,The genetic material donor and the egg cell donor
Who was the first person to orbit the Earth?,B,Georgi Dobrovolski,Yuri Gagarin,Neil Armstrong,Kerim Kerimov
"In 2005, this famous Russian cosmonaut set a record for total time, spent in space.",B,Anatoly Solovyev,Sergei Krikalev,Valeriy Polyakov,Sergei Avdeyev
"What is the name of the dog, that became the first earthling to enter orbit?",B,Lisichka,Laika,Rover,Belka
"In  April 28, 2001, this famous American multimillionaire became the first space tourist.",D,Mark Shuttleworth,Charles Simonyi,Gregory Olsen,Dennis Tito
"Which Russian astronaut became the first person to be married in space, while he was on the International Space Station?",D,Vladimir Dezhurov,Yuri Gidzenko,Sergei K. Krikalev,Yuri Malenchenko
The crew of which Apollo mission spent the longest time on the Lunar surface?,D,Apollo 9,Apollo 7,Apollo 12,Apollo 17
"Along with Neil  Armstrong and Michael Collins, who was the third member of the Apollo 11 crew?",D,"James A. Lovell, Jr",William Anders,Fred Haise,Buzz Aldrin
"Who was the pilot of SpaceShipOne, the spaceplane that completed the first privately funded human spaceflight?",A,Mike Melvill,Peter Siebold,Doug Shane,Brian Binnie
What was nationality of Vladimir Remek - the first cosmonaut from a country other than the Soviet Union or the United States?,C,Hungarian,Bulgarian,Czechoslovak,Pole
What was the name of the first monkey to go in outer space?,A,Albert I,Gordo,Sam,Bonny
"In 1905, this British scientist suggested the word genetics to describe the study of inheritance.",C,Hennig Brand,Karl Pearson,William Bateson,Adam Sedgwick
"Chromatin, found in the nucleus of a cell, consists of a complex of Deoxyribonucleic acid (DNA), the gene-carrying molecule. Which of the following types of chromatin is rich in genes?",B,heterochromatin,euchromatin,facultative heterochromatin,constitutive heterochromatin
"Which of the following statements about the Deoxyribonucleic acid (DNA), the molecule of heredity, is correct?",C,Its molecule is a single-stranded,It encodes information from RNA,Its molecule is a double helix,It carries information to the Ribonucleic acid (RNA)
"The entire hereditary information of an organism held in the Deoxyribonucleic acid (DNA), is defined by which term?",B,proteome,genome,cryptome,regulome
A chromosome is a very long piece of Deoxyribonucleic acid (DNA) which contains genes. Which term refers to the number of chromosomes per cell in a species?,B,monoploid number,euploid number,haploid number,aneuploid number
"This genetic disorder is characterized by the premature fusion of the bones of the skull, which affects the shape of the head and face.",A,Pfeiffer syndrome,Angelman syndrome,Joubert syndrome,Klinefelter syndrome
Genes are the units of heredity in living organisms. Variants of the same gene are known under what name?,D,albumins,nucleotides,myosins,alleles
"Deoxyribonucleic acid (DNA), the molecule of heredity, is doubled in what stage of cell division?",B,G2 phase,S phase,M phase,G1 phase
"This cell structure exists only when the long pieces of Deoxyribonucleic acid (DNA), called chromosomes, replicate themselves.",B,flagelle,chromatid,centrosome,microtubule
"This chemical element has a smell similar to garlic and is part of the structure of Deoxyribonucleic acid (DNA), the molecule that carries genes.",D,iodine,sulfur,potassium,phosphorus
A card is selected at random from a regular poker deck of cards. The  jokers have been eliminated. What is the probability that the selected card is a diamond?,A,1 in  4,1 in 13,1 in 26,1 in 52
Two cards are randomly selected from a regular 52-card deck. What are the odds that they are both red?,B,1 in 4,25 out of 102,1 in 2,1 in 26
What are  the odds that you will be killed by lightning in the USA?,B,"360,200,000 to1","2,320,000 to 1","23,200,000 to 1","506,000 to 1"
A regular fair  pair of  dice is rolled. What is the probability that the role  will be a 7?,B,7 in 6,1 in 6,6 in 7,7 in 36
Mr. A  picks three cards from a 52-card deck. Mr. B rolls a pair of dice once. Mr. C rolls three dice. Mr. A must pick three aces. Mr. B must roll a 13. Mr. C must roll a  two. Who has the best odds?,A,Mr. A,The odds are equal,Mr. C.,Mr. B
"A combination lock has a  combination consisting of  three numbers. Each number could be 0,1,2,3,4,....39. How many different combinations are possible?",A,40 X 40 X 40=40^3,40  X 3=120,39X 3=117,3 X3 X 3X.........=3^40
"For some reason, you  are playing craps. The person rolling wants Little Joe. What is he hoping for?",C,a 12,a 2,a 4,a 14
Which casino game gives you the best chance of winning? (We assume that no cheating is involved.),C,Keno,Slot machines,Blackjack,Craps
"If you bet on a number in roulette in a fancy casino in Monaco or in an average casino in the USA, your odds of winning are the same.",B,True,False,,Q A  nine-digit number is selected at random. What are the odds that it will be your social security number (in the USA)?
"On average, how many tornadoes are reported in the United States annually?",D,"2,000-2,500","3,500-4,000","3,000-3,200","800-1,000"
"In the southern part of the United States, what months are peak season for tornadoes?",A,March-May,June-August,January-Feburary,September-December
Tornadoes are transparent at first until dust and debris are picked up.,A,True,False,,Q Buildings can explode due to low pressure that comes with tornadoes.
What time of the day do tornadoes most often strike?,D,12 a.m. - 1 p.m.,10 p.m. - 3 a.m.,2 a.m. - 12 p.m,3 p.m. - 9p.m.
"When a tornadoe warning is issued, you should get in your car and try to outrun the storm to get to safety.",A,False,True,,"Q There are four laws governing thermodynamics.  The zeroth is concerned with thermal equilibrium of three systems, the first law describes that the total energy of the universe remains constant and the second law tells us that entropy of a non-equilibrium system will increase over time.  What does the third law of thermodynamics describe?"
"According to the electromagnetic spectrum, which region is the most energetic?",B,infrared,gamma,ultra-violet (UV),radio
Duality in quantum mechanics is used to describe these two concepts.  The Schrodinger equation is in fact the essence of duality.  Which two concepts are described in duality?,D,solids and liquids,temperature and volume,liquids and gases,particles and waves
Molecular electronic transitions (n to Π* or Π to Π*) are are usually caused by the input of infrared radiation.,B,True,False,,Q This is an early computation device used in the 12th century by the Chinese.
Was the Pascaline invented by Blaise Pascal?,B,No,Yes,,Q What computational device was designed by Charles Babbage?
What computational device was invented in 1617?,B,Abacus,Napiers bones,Jacquards Loom,Analytical engine
Who developed a punch card that was used with mechanical tabulating machines in the 1890 U.S. Census?,A,Dr. Herman Hollerith,John Napier,Joseph Marie Jacquards,Blaise Pascal
What year was the Pascaline invented?,D,1601,1636,1886,1645
The Leibniz Calculator was invented in 1692.,A,True,False,,Q The muscular system composes what percent of total body weight?
"Which skeletal muscle is used in blowing, whistling, and smiling?",C,Orbicularis oculi,Mandibular,Buccinator,Masseter
"Which skeletal muscle raises or throws back the shoulders, assists in moving the head to one side or another, and helps hold the head erect?",C,Platysma,Latissimus dorsi,Trapezius,Sternocleidomastoid
"Which skeletal muscle extends the foot, and is used to stand on tiptoes?",A,Gastrocnemius,Hamstrings,Soleus,Tibialis anterior
Identify the true statement regarding cardiac muscle.,A,It contracts moderately fast in response to stimulation of nerve impulses.,It is attached to the skeleton and moves its parts.,It contract quickly in response to stimulation of nerve impulses.,It is voluntary.
Identify a true characteristic of the smooth muscle tissue.,D,It is a muscle only found in the stomach.,It contracts quickly in response to nerve stimulation impulses.,It is voluntary.,It contracts slowly in response to nerve stimulation impulses.
"Which skeletal muscle moves the scapula forward, as in pushing something?",D,Soleus,Sartorius,Sternocleidomastoid,Serratus anterior
What term refers to wasting away or degeneration of a muscle?,C,Dystrophy,Trophy,Atrophy,Hypertrophy
What word denotes the ability of the muscle to transmit impulses?,D,Irritability,Extensibility,Elasticity,Conductivity
Identify a true characteristic of skeletal muscle.,D,It is found in the stomach and intestines.,"It is non-striated, composed of spindle shaped cells.",It is involuntary.,"It is striated, made up of long slender, striped cells."
What sea creature has 3 hearts and 8 tentacles?,C,sea worm,crab,octopus,squid
A young goat is called a kid.,A,True,False,,Q What does a caterpillar turn into?
What is the national flower of Wales?,B,Daisy,Daffodil,Rose,Posy
What continent are tigers native to?,D,South America,Africa,Europe,Asia
"If Kermit the Frog were a live animal, would he be considered an amphibian?",A,Yes,No,,Q The word buck is used for what male animal?
What does a koala eat?,C,banyan tree,bamboo,eucalyptus leaves,rice
What continent is the aardvark native to?,C,Australia,America,Africa,Asia
Nag is slang for what animal?,D,Snake,Newt,Pony,Horse
"When a patient presents with a sore throat, which of the following diagnoses may indicate immediate intubation?",C,Mononucleosis,Quinsy,Epiglottitis,Peri-tonsillar Abscess
"All of the following medications are contraindicated during pregnancy, EXCEPT which one?",C,Tetracycline,Valproic Acid,Nitrofurantoin,Methotrexate
"If a patient over the age of 50 presents with shoulder-and pelvic-girdle muscle pain, and you suspect a diagnosis of Polymyalgia Rheumatica, what question should you ask to rule out another diagnosis which often accompanies this one?",B,Do you get short of breath?,Does your jaw hurt when you chew?,Does it ever seem that your heart is beating fast?,Do you have tingling in your feet or toes?
"If a patient has chest pain and ST elevation in nearly all leads of the EKG, what is the likely diagnosis?",C,Acute Myocardial Infarction,Pulmonary Embolism,Pericarditis,Pneumothorax
All of the following are treatments for rheumatoid arthritis EXCEPT which one?,A,Carbamazepine,Hydroxychloroquine,Gold,Prednisone
Which of the following opiates is most likely to cause seizures?,C,Morphine,Hydromorphone,Meperidine,Oxycodone
Treatment of asthma with a long-acting beta agonist is inadvisable unless you are also treating the asthma with a steroid.,A,True,False,,Q All of the following are common causes of elevated liver enzymes EXCEPT which one?
Which of the following is a possible cause of sudden-onset shortness of breath?,C,Neither of these,Acute myocardial infarction,Both of these,Pulmonary embolism
Which of the following is INCORRECT?,A,Esophoria need not be addressed before the age of 3.,Umbilical hernias almost always resolve spontaneously by the age of 5.,Acute otitis media in a child need not be treated with an antibiotic.,In epispadias the urethral meatus is superior to its normal location.
Which of the following patients should have the lowest goal low-density lipoprotein?,B,A 60-year-old man with erectile dysfunction and a family history of coronary artery disease,A 30-year-old woman with type 2 diabetes,A 55-year-old man with colon cancer,A 50-year-old cigarette-smoking woman with familial hypercholesterolemia
Which of the following tests would be appropriate to confirm the diagnosis of B12 deficiency in a patient whose B12 level is at the low end of the normal range?,A,Methylmalonic Acid level,Urine Catecholamines,Folic Acid level,Haptaglobin level
It is certainly feasible to practice medicine without ever prescribing opiate medications.,B,True,False,,Q Name the first four planets of the Solar System in order of their distance from the Sun?
Which of these is represented by the chemical formula C12 H22 O11?,A,sugar,salt,oxygen,baking soda
Mixing baking soda and vinegar in a closed container causes a tiny explosion.,A,True,False,,Q What is the largest planet in the solar system?
What is the chemical formula for baking soda?,B,Co3,NaHCO3,C3H8,C12 H22 O11
What is the atomic number of the chemical element chlorine?,C,28,83,17,9
The name of which country is derived from the Latin word for silver?,B,Ecuador,Argentina,El Salvador,Albania
What star is closest to the sun?,B,Procima Beta,Proxima Centauri,Alpha Centauri,Proxima Alpha
"The first examples of early Byzantine architecture, found in Ravenna and Constantinople, date from the reign of which Byzantine emperor?",A,Justinian I,Justin II,Tiberius II,Haraclius
The long body of the church Hagia Irene in Istanbul (former Constantinople) is covered by two domes.,A,True,False,,"Q St Volodimyr Cathedral, an example of Neo-Byzantine architecture, is located in which Eastern European city?"
The dome of Hagia Sophia in Istanbul (former Constantinople) is supported by how many massive piers?,D,3,2,5,4
"The Church of the Holy Sepulchre, also called the Church of the Resurrection, is an example of Byzantine architecture, located in which city?",D,"Moscow, Russia","Rome, Italy","Istanbul, Turkey","Jerusalem, Israel"
The Byzantine church of Hagia Irene was the seat of the Bishop of Constantinople until what year?,C,738,404,415,564
"The church of Hagia Irene, a Byzantine church, was converted into a mosque by Sultan Mehmed the Conquerer.",A,False,True,,"Q Elmali Kilise, a rock sanctuary built in Byzantine style, dates back to the Comnenan period and is located in which district?"
"St Marks Basilica, a prominent example of Byzantine architecture, is located in which Italian city?",C,Milan,Rome,Venice,Florence
"Unlike most animals eyes, the eyes of fish and snakes usually have a fixed lens size. How do these animals eyes focus then?",B,By rotating the lens,By telescoping the lens,By tilting the lens,By bending the lens
Which of these species has the most complex color vision known?,D,The Tarantula,The Bengal tiger,The Great white shark,The Mantis shrimp
What is the maximum angle of field of vision compound eyes can have?,B,290 degrees,360 degrees,310 degrees,200 degrees
Almost all organisms on Earth have a vision restricted to small range of the electromagnetic spectrum (between 320 and 800 nm). This is considered to be a consequence of which of these evolutionary facts?,D,Life emerged on another planet,The atmosphere had different composition when life emerged,"At the time when life emerged, the electromagnetic spectrum was different",Life emerged underwater
"If compared to a camera, what part of the human eye is its aperture?",B,Iris,Pupil,The cones,Optic nerve
Iridology is a branch of ophthalmology that deals with diseases and treatment of the human iris.,A,False,True,,Q Which of these activities can cause permanent damage to the eyes?
"In order to achieve the widest possible field of view, these animals have their two eyes positioned on opposite sides of their heads.",A,Prey animals,Predatory animals,Underwater animals,None of these
Stereopsis is a process in visual perception giving the organism a sensation of what?,C,Color,Width,Depth,Movement
"Chameleons have some of the most distinctive eyes among the reptiles. The two separately moving and focusing eyes of a chameleon give it a full 360-degree arc of vision around its body, but can they also ensure sharp clear focusing on one single object?",B,No,Yes,,Q What does the metric prefix kilo mean?
Which three nations have not officially adopted the metric system?,D,"The USA, Jamaica, Libya","The USA, the United Kingdom, Malawi","The USA, Jamaica, Burma","The USA, Liberia, Myanmar"
Who was the first person to propose the idea of a metric system?,B,Gabriel Mouton,Simon Stevin,Napoleon,King Louis XIV
Which was the first nation to adopt a metric system?,C,Italy,Austria,France,Vatican City
"In the metric system, what unit is used to measure temperature?",D,degrees Fahrenheit,degrees Centigrade(Celsius),degrees Rankine,degrees Kelvin
What unit is used in the metric system for measuring time?,A,the second,the Ohm,the grad,the cell phone
What does the  prefix milli mean?,C,1000,1/100000,1/1000,1/100
What does the metric prefix nano mean?,C,"1,000,000","1,000,000,000","1/1,000,000,000",10
Many computer drives have a capacity of a terabit. How many bits are in one terabit?,D,"1,000",10,8,"1,000,000,000,000"
There is a unit called a Yottagram. How many grams are in one Yottagram?,B,10^12,10^24,10^18,10^ -12
Which nation issued the first metric currency - a unit that was divided in 100 parts?,D,Italy,France,Spain,The USA
"The Kasson Metric Act of 1866 made the Metric System the official system of the USA, although it was repealed in 1873.",A,False,True,,Q Thomas Jefferson was a leading opponent of the metric system.
What does XML stand for?,D,excellent markup language,extensive markup language,easy markup language,extensible markup language
When did the Nintendo system debut in the U.S.A.?,C,1998,1980,1985,1970
"The giant sub atomic particle collider, capable of reproducing the big bang conditions, is located in which research facility?",B,NASA,CERN,None of these,KAOS
"This engineer, called the father of supercomputing, has been credited with creating the supercomputer industry.",A,Seymour Gray,Charles Babbage,Bill Gates,Steve Jobs
Why did the U.S.A. launch the Galileo space probe?,C,to explore Pluto,to explore Mercury,to explore Jupiter,to explore the sun
HCl has pH close to which one of these?,A,2,4,14,7
What is the reaction called when an acid and a base are mixed together?,C,single replacement,double replacement,neutralization,synthesis
Which two of these are produced when an acid and a base are mixed together?,A,water and a salt,water and another base,HCl and NaOH,water and another acid
Bases corrode metal.,A,False,True,,Q What happens to an indicator when touched by an acid or a base?
"If HCl and NaOH are combined, what compound is produced other than water?",A,NaCl,HNa,HOH,ClOH
The pH of solids in solid form can be measured using indicator paper.,A,False,True,,Q A ionic compound with H (hydrogen) in the front is most likely to be which of the following?
What is soap?,D,an acid with a sour taste,an acid with a bitter taste,a base with a sour taste,a base with a bitter taste
