Questions,Correct,A,B,C,D
The Hooded Seal is a marine mammal that populates this geographic area.,C,North and northeast Pacific,All of these,Central and western North Atlantic,North Indian Ocean
"This animal is the heaviest member of its family, and also one of the smallest marine mammals.",B,Sea pig,Sea otter,Polar mouse,None of these
"Which of these marine mammals matches the description: Very large body, has tusks and whiskers?",C,Tusked seal,Elephant seal,Walrus,Polar bear
"The Humpback Whale, one of the largest marine mammals, feeds in this season.",C,Spring and winter,Winter,Summer,Fall
"This extraordinary marine mammal is often considered a whale, but it is actually a dolphin.",A,All of these,Killer Whale,Blackfish,Seawolf
Dolphins are considered some of the most intelligent animals on the planet. How are they classified according to their diet?,B,They are specialized eaters.,They are carnivores.,They are herbivores.,They are omnivores.
"This marine mammal is known as the pilot whale, but it is not actually a whale. What type of animal is it?",C,Walrus,Seal,Dolphin,Otter
Which of these animals are among the many marine mammals that use songs for the purposes of communication?,A,All of these,Blue Whale,Humpback whale,Beluga
"Translated in English, what does the name of the chinchilla mean?",B,Little Chilean,Little Chincha,Little Chile,Of Chincha
The natural habitat of the Chinchilla is this region in South America.,D,Tierra del Fuego,The Atacama Desert,The Amazon River basin,The Andes
Which is the wrong statement about chinchilla breeding?,D,Chinchilla litters predominately consist of twins.,Chinchillas can breed any time of the year.,Little chinchillas are born furred and with eyes open.,Chinchillas have a 45-day gestation period.
Chinchillas have a wide range of hearing - 5 Hz to 60 kHz,B,True,False,,Q To which chinchilla species do most of the domestic chinchillas belong?
Chinchillas are great pets for children - they are animals of very friendly nature and love to be held.,A,False,True,,"Q In nature, chinchillas can be found in only one color. Which one is it?"
Chinchillas should be bathed with warm water at least once a week.,A,False,True,,Q Which of the following should be avoided in the pet chinchillas diet?
Which of these physiological features does the chinchilla lack?,A,The ability to sweat,The ability to sneeze,The ability to jump,The ability to swallow
Name the two types of Chinese Crested dogs.,D,Water and Runner,Hairless and Hound,Sporty and Spotted,Hairless and Powderpuff
"The two types of Chinese Crested dogs are born in separate litters, they cannot come from the same litter.",A,False,True,,Q Which breed group does the Chinese Crested dog belong to?
The Chinese Crested dog does not require much exercise.,B,False,True,,Q Which of the following behaviors is not typical for the Chinese Crested dog?
The Chinese Crested dog is very timid.,B,True,False,,Q A Chinese Crested dogs ears are not cropped.
"The origin of the Chinese Crested dog is unknown, but according to some sources it may have come from which of these places?",C,Canada and USA,Thailand and Egypt,Mexico and Africa,Japan and China
Chinese Crested dogs are very suspicious of strangers and can make very good watchdogs.,B,False,True,,Q A hairless Chinese Crested dog needs to be protected from which of the following?
What term is commonly used to denote a group of foxes?,C,Earth,Troop,All of these,Skulk
What is the meaning the word which stands for fox in many languages?,D,Fur,Nose,Cunning,Tail
How are most foxes generally classified according to their diet?,A,Omnivores,Specialized eaters,Insectivores,Carnivores
"Which of these names refers to the Crab-eating Fox, a medium-sized fox found in the central part of South America?",D,Forest Fox,Wood Fox,Common Fox,All of these
What fox species is considered to be the smallest on the planet?,B,Short-Tailed Fox,Fennec Fox,Island Fox,Coast Fox
"What notable feature does the Fennec Fox possess, that makes it easily recognizable?",C,It has no tail,Bluish fur,Very large ears,Red eyes
"Which of these names belongs to the fox species that is the second smallest fox species in the world, slightly smaller than a domestic cat?",B,Short-Tailed Fox,All of these,Coast Fox,California Channel Island Fox
"According to Chinese mythology, what shape do fox spirits known as huli jing take in the real world?",D,Cats,Children,Bushes,Women
which of these stories and books have a fox character involved in the storyline?,B,Pippi Longstocking,The Adventures of Pinocchio,The Little Match Girl,Thumbelina
What eminent musician released his album The Fox in 1981?,B,Tom Johnes,Elton John,Barry White,Julio Iglesias
Chipmunks are small squirrel-like rodents belonging to the genus Tamias. What does the Greek word tamias mean?,A,Storer,Nibbler,Squirrel,Stripes
What would some species of  porcupine consume in order to supply calcium ans salts?,D,Nails,All of these,Tiny rocks,Bones
"What defense tactic does the chinchilla use in order to escape from its predators, which include birds of prey, skunks, felines, snakes and canines?",D,Playing dead,Squeaking,Scratching,Spraying urine
"What rodent, closely related to the chinchilla and guinea pig, is also known as the Brush-Tailed Rat and is native to Chile?",B,Gerbil,Degu,White-tailed Antelope Squirrel,Prairie dog
"The Capybara is the largest rodent in the world. What is the meaning of its name, derived from a word of the Guaraní language?",A,Master of the grasses,River keeper,Rabbit pig,Water squirrel
"The acouchis, small diurnal rodents found along riverbanks in the Amazon Rainforest, usually feed on this type of food.",C,Insects,Grass,Fruit,Nuts
"Guinea pigs are very intelligent, highly social animals that use special vocalization to communicate. What does their whistling or wheeking sound express?",A,Excitement,Danger or pain,Discomfort,Warning
Groundhogs are mostly herbivorous rodents that sometimes eat animal matter. What kind of animals would they feed on?,C,Larvae,Grasshoppers,All of these,Snails
"What kind of unique activity is characteristic of the African Pygmy Mouse, the smallest rodent in the world?",D,It sings at night.,It disguises its young using leaves.,It starts dancing when it feels threatened by a predator.,It piles up pebbles in front of its burrow.
Which of these statements is true about rodent species in general?,D,All of these,"The Latin word rodere, from which rodent originates, means rat.",Rodents have canine teeth only on their lower jaw.,Rodents do not vomit.
To which of these geographical areas are hummingbirds indigenous?,A,North and South America,Europe,Africa and Asia,Australia and Tasmania
How did Hummingbirds get their interesting name?,D,None of these,"They are named after their discoverer, Michael Hummings.",Because of their singing,Because of the noise they produce when they fly
Hummingbirds are the only birds on the planet to have this amazing ability.,D,They can stay without water for as many as 30 days.,All of these,They can carry food that is 3 times heavier than their own weight.,They can fly backwards.
What is the major type of food that Hummingbirds depend on for their survival?,D,All of these,Seeds,Buds,Nectar
Which of the following statements is true about Hummingbirds?,B,Hummingbirds heart can beat as fast as 300 times per minute.,"When Hummingbirds are flying they have the fastest metabolism of all animals, except for insects.",All of these,Hummingbirds often consume very large amounts of food and they are not able to lift off.
What is the term for the state of temporary hibernation that Hummingbirds enter when food is not available?,D,Hush,Stupor,Stillness,Torpor
What is the reason for Hummingbirds short life-span?,A,Their fast metabolic rate,They have many predators.,They often get poisoned when feeding on nectar or insects.,Their small size
"The usage of raw sugars, including brown sugar, is not recommended when preparing artificial nectar for Hummingbirds. Why?",B,All of these,Raw sugars contain iron.,Raw sugars contain zinc.,They contain harmful heavy metals.
Aztecs are known for wearing hummingbird talismans which symbolize which of the following?,D,Skill at arms,Energy,Sexual potency,All of these
"How did the smallest bird in the world, the Bee Hummingbird, get its name?",B,Because of its black-and-yellow plumage,Because it is approximately the size of a large bee,Because of the sound it make with its wings,Because it feeds on bees
"Where does the Giant Cowbird, a passerine bird found in South America, lay its eggs?",A,In other birds nests,On rocks,On balconies,On the ground
"The vicuna, a South American animal, is a close relative of this other animal.",B,Iguana,Llama,Tarantula,Chinchilla
"What common name is used to denote the dolphin species Sotalia fluviatilis, indigenous to South America?",C,Tucuxi,Bufeo gris,All of these,Bufeo negro
"What color is the head of the South American stork Jabiru, whose body is predominantly white?",C,Purple,Green,Black,Red
"What type of animal is the Gold tegu, found in South America?",A,Reptile,Insect,Deer,Primate
"What is the smallest species of deer in the world, found only in South America?",A,Northern Pudu,Marsh Deer,Southern Pudu,Antifer
"What makes the Scarlet Macaw, a parrot species indigenous to South America, unsuitable for a pet?",D,It is very demanding.,It is extremely noisy.,It is a high maintenance pet.,All of these
"What does the South American snake Lachesis muta, commonly known as South American bushmaster, do when it feels threatened?",A,It starts vibrating its tail.,It spreads its neck.,It hisses and dances.,All of these
"Which of these statements is true about the capybara, the largest rodent on the planet, indigenous to South America?",B,Its front legs are a little longer than the rear legs.,None of these,It has 16 teeth.,It has a short tail.
What type of mammal is the Culpeo?,C,Beaver,Wild cat,Wild dog,Fox
Tiger sharks usually hunt alone.,A,True,False,,Q The tiger shark is considered highly dangerous to humans.
The tiger shark reaches a length of 10 ft to 20 ft.,A,False,True,,"Q Unlike most sharks, the tiger shark does not grow a replacement tooth every time one is lost."
Which of the following is a characteristic of the tiger shark?,C,They can breath above water.,They have eyelids.,They give birth to live young.,They have body hair.
What time of day does the tiger shark usually hunt?,C,They hunt at different times throughout the day,Early morning,Nighttime,Mid morning
Tiger sharks are know to eat garbage that is thrown in the water by humans.,B,False,True,,Q Tiger sharks give birth to up to 12 live young at a time.
How long is the gestation period for a female tiger shark?,A,15-16 months,20-21 months,10-12 weeks,9-10 Months
Which of these is one of the nicknames of the tiger shark?,C,Garbage Can of the Deep,Predators  that will kill,Wastebasket of the Sea,Killers of the Ocean
What does the Latin word  omnivore stand for?,D,Fast eater,Eating constantly,Eating whatever,Eating everything
Most bear species are omnivores and their diet consists mainly of what?,D,Tubers,Leaves,Grass,Mast
"Which of these statements is NOT true about the Common Raven, a popular omnivorous bird?",C,It wouldnt reject carrion,It would feed on animal feces,It wouldnt eat birds,It feeds on human food waste
Which of these is not within the natural diet of the omnivorous Eastern Box Turtle?,A,Small amphibians,Earthworms,Snails,Carrion
Which of these is true about raccoons?,B,They do not produce enough saliva to moisten their food,They use their front paws to examine their food and remove unwanted parts,Only wild raccoons douse their food,All of these
"What is the main food source for the sloth, an omnivorous mammal living in Central and South America?",B,Small reptiles,Leaves,Insects,Fruit
"What bizarre food would pigs occasionally eat, being omnivores?",D,Tree bark,Their young,Rotting carcasses,All of these
"Skunks, which are omnivorous mammals, are one of the primary predators of these animals.",C,Moles,Termites,Honeybees,Salamanders
What is the prevailing color of the fur of the Tasmanian devil?,D,Grey,White,Brown,Black
In what part of their body do Tasmanian devils store body fat?,C,Abdomen,Neck,Tail,Back
"What is the meaning of the word Sarcophilus, the name of the genus that the Tasmanian devil belongs to?",D,Devil creature,Blood-lover,Dog-like,Meat-lover
At what time of the day are Tasmanian devils most active?,A,At night,Early morning,At noon,During the daytime
Which of these statements is true about Tasmanian devils?,A,They are predominantly solitary animals,They live in couples,They live in groups,None of these
What does the Tasmanian devil do when it feels stressed or threatened?,C,It starts screaming,It plays dead,It produces a strong odour,It attacks
Which of these statements are wrong about the reproduction of the Tasmanian devil?,C,The female gives birth to 20-30 young,Gestation lasts 21 days,The female has six nipples,None of these
What type of food do Tasmanian devils prefer in the wild?,B,Sheep,Carrion,Insects,Fish
In May 2009 the Tasmanian devil was declared to be endangered because this disease had almost wiped out its population.,B,AIDS,Facial cancer,Kawasaki disease,Rabies
What is the name of the Tasmanian devil cartoon character from Looney Tunes by Warner Bros.?,A,Taz,Tess,Devlin,Tassie
Which of these are a part of an ant colony?,A,All of these,Drones,Soldiers,Workers
Which of these behaviors is typical of ant societies?,D,Ability to solve complicated problems,Communication between individuals,Division of labor,All of these
Termites are not actually ants.,A,True,False,,Q Which of these is true about ants diet?
What is the usual size range of mature ants?,D,From 1.5 to 12 millimeters,From 3.5 to 61 millimeters,From 2 to 33 millimeters,From 0.75 to 52 millimeters
Which of the following statements is true about ants eyes and eyesight?,B,"The eyesight of most ants ranges from poor to average, and a number of species that live underground are completely blind.",All of these,Ants have compound eyes which consist of multiple small lenses.,Ants have three simple eyes called ocelli on the top of their heads that detect light levels and polarization
How many legs do ants have?,B,10,6,8,4
Ants communicate through pheromones.,B,False,True,,Q Which of these ways of defence and attack do ants use?
This chemical is found in the venom of most ants and some other insects.,C,Formaldehyde,Saxitoxin,Formic acid,Cyanic acid
"Some small spider species, as well as the young of larger species, are known for floating in the wind. What is this activity commonly known as?",D,Skydiving,Jetting,Drifting,Ballooning
Which of these mollusks is able to glide over in air for up to 50 meters (164 feet)?,B,Oyster,Squid,Octopus,Slug
"In what ocean can the 50 species of Exocoetidae, also known as flying fish, be found?",B,Atlantic ocean,All of these,Indian ocean,Pacific ocean
"Of all the gliding animals, which one is the one best glider?",B,Sifaka,Flying lemurs,All of these,Flying squirrels
"Which  frog is a skilled glider, able to make two types of turns midair?",D,Malayan flying frog,Benjamins gliding frog,Wallaces Flying Frog,Chinese gliding frog
"Some mammals are able to glide and parachute, but bats are the only ones capable of flying.  What is the name of the membrane that forms the surface of their wings?",B,Reticulum,Patagium,Corticulum,Flagellum
"In what geographical region can you find the Paradise Flying Snake, also called Paradise Tree Snake?",D,Central and South America,North America,Australia,Asia
"What kind of organism is the Greater Glider, a gliding animal indigenous to Australia?",D,Reptile,Fish,Amphibian,Mammal
Where are the gliding membranes of the Draco lizard species positioned?,D,Between their fingers and toes,Between its front and hind legs,They do not have a gliding membrane,On their elongated ribs
Which of these species of geckos is able to glide in the air after jumping or falling from a tree?,B,Gold dust day gecko,Ptychozoon,Uroplatus fimbriatus,Leopard gecko
"The large tsetse fly, found in Africa, feeds on what?",B,All of these,Blood,Carrion,Nectar
What type of animal is the serval?,D,Canine,Ungulate,Reptile,Feline
What is the largest crocodilian in Africa?,C,Gharial,Slender-snouted Crocodile,Nile crocodile,Saltwater crocodile
What body part of the giraffe can indicate its gender?,C,Tongue,Teeth,Horns,Eyes
"Adult Goliath beetles, found in Africas tropical forests, feed on what?",C,Leaves and grasses,Insects and other invertebrates,Fruits and tree sap,Carrion
"What type of animal is the dik-dik, indigenous to Africa?",D,Cricket,Wild cat,Rodent,Antelope
"In cetaceans, the species identification “rorqual” comes from the Norwegian word “rorhval” which means “furrow.” These furrows are obvious on all rorqual whales. Which of the following is not a rorqual whale?",A,Beluga whale,Sei whale,Bryde’s whale,Minke whale
Right and gray whales have been over-fished almost to extinction. Which of the following is a gray or right whale?,A,Bowhead whale,Blue whale,Sperm whale,Narwhal
"Narwhals and belugas make up separate subspecies of cetaceans. However, taxonomists often include in it a dolphin which lives in Indo-Pacific waters. What is the name of this dolphin?",A,Irrawaddy dolphin,Bottlenose dolphin,Boto,Risso’s dolphin
"Which whale expels a reddish-brown fluid when threatened, much like an octopus?",B,Dwarf sperm whale,Pygmy sperm whale,Andrew’s beaked whale,Fin whale
Males of this whale species have one tooth that can grow to be 10 feet (3 m) long.,B,Strapped-tooth whale,Narwhal,Long-finned pilot whale,Blainville’s beaked whale
The largest family of whales is the beaked whales (Ziphiidae). Most of the scarce information about this family has been found from dead specimens. Their teeth are the most distinctive aspect of these whales; most have only 2-4 oversized teeth. Which whale’s teeth erupt from bulges in the lower jaw?,C,Stejneger’s beaked whale,Longman’s beaked whale,Blainville’s beaked whale,Arnoux’s beaked whale
The family “delphinidae” include which kind of cetacean?,D,Rorqual whales,Southern right whales,Porpoises,Dolphins
The family “phocoenidae” describe which group of cetacean?,B,Indus and Ganges river dolphins,Porpoises,Beaked whales,Dolphins
These cetaceans live off the southern coast of South America and can be found up to 150 miles (240 km) up the Amazon River. They are colored pale blue with a white underside. What is their name?,A,Tuxici,Amazon dolphin,South American dolphin,Franciscana
"Sometimes called the “hooked-finned” porpoise, this animal has a barely noticeable beak. It lives in the deep waters of the northern latitudes between North America and Asia, and is a very fast swimmer (up to 20 mph / 32 km/h). What is its name?",C,Dusky dolphin,Dall’s porpoise,Pacific white-sided dolphin,Pantropical dolphin
"The representatives of this type of dolphins have very small eyes, making them virtually blind. They rely on echolocation to find food and swim in turbid waters. They include the baiji and boto. What are they called?",B,Oceanic dolphins,River dolphins,Muddy dolphins,Blind dolphins
"This family of cetaceans has representatives like the vaquita, the harbor, and spectacled type. They are shy and stay away from boats; however, they are particularly susceptible to fishing lines, nets, and other pollution. Which is the family?",C,Pilot whales,River dolphins,Porpoises,Dolphins
This oceanic dolphin has distinctive yellow patches on its sides. It is mostly found in the northern latitudes of the Atlantic Ocean.,A,Atlantic white-sided dolphin,Hector’s dolphin,Atlantic yellow-sided dolphin,Common dolphin
"This popular dolphin often herds fish onto the beach in order to eat the stranded fish. As a result, the teeth on one side (usually the right) are worn down due to eating sand as well as the fish. Which is this dolphin?",B,Stranded dolphin,Bottlenose dolphin,Right-sided dolphin,Spotted dolphin
Which of the following do orca NOT do with their food?,A,Regurgitate it for their young,Throw it,Use it as a teaching tool for young orca,Slam it on the surface of the water
What animal is considered the smallest mammal in length on the planet?,C,None of these,Pygmy Jerboa,Kittis Hog-nosed Bat,Etruscan Shrew
"The Microraptor, the smallest known non-avian dinosaur, inhabited this modern day area during the early Cretaceous Period 130-125.5 million years ago.",B,Madagascar,China,Australia,Canada
What kind of animal is the smallest known reptile on the planet?,D,Lizard,Snake,Turtle,Gecko
This tiny frog is the smallest amphibian in the world.,B,Monte Iberia Eleuth,Brazilian Gold Frog,Rana Minuscula,Small Frog
What type of insect is the smallest known insect on the planet?,B,Cockroach,Wasp,Ant,Fly
Which of these tiny bugs is considered the smallest beetle in the world?,B,None of these,Scydosella musawasensis,Nanosella,Vitusella fijiensis
What type of animal is the smallest vertebrate?,D,Mammals,Reptiles,Amphibians,Fish
"The smallest turtle in the world, the Speckled Padloper Tortoise, inhabits which of these areas?",D,South Asia,North Australia,South America,South Africa
"Where is its natural habitat of the smallest bird on the planet, the Bee Hummingbird?",C,Hawaii,All of these,Cuba and the Isle of Youth,Madagascar
What bacterium is believed to be the smallest living organism that is capable to grow and reproduce independently?,D,Staphylococcus aureus,Escherichia coli,Carsonella ruddii,Mycoplasma genitalium
What does the diet of most penguin species primarily consist of?,B,Krill,All of these,Squid,Fish
The largest penguin species on the planet is the Emperor Penguin. What is the smallest one?,A,All of these,Blue Penguin,Little Penguin,Fairy Penguin
"There are various theories for the origin of the word penguin, such the Latin word pinguis, which means what?",D,Diver,Upright,Swimmer,Fat
"What color is the crest on the head of the Southern Rockhopper Penguin, which is known for having red eyes?",B,Bright blue,Yellow,Red,Green and blue
Which of these penguin species is the closest relative of the Magellanic Penguin?,B,African Penguin,All of these,Galapagos Penguin,Humboldt Penguin
What is the common name of the Eudyptes schlegeli penguin species that have a white face and live in the waters surrounding Antarctica?,D,King Penguin,All of these,Emperor Penguin,Royal Penguin
The sound of what musical instrument does the call of the Macaroni Penguin resemble?,A,Trumpet,Saxophone,Flute,Ocarina
"Most penguin species are piscivorous, meaning what?",C,They do not drink water,They have a tubular body shape,They feed primarily on fish,An aquatic animal
What notable feature does the Gentoo Penguin possess which makes it easily recognizable?,A,A white stripe on the top of its head,A longer blue tail,A red crest on its head,A yellow spot on its abdomen
What is the special talent of the penguin Mumble from the 2006 animated movie Happy Feet?,D,Shoe making,Singing,Break dancing,Tap dancing
What large mammal is the national animal of India?,B,Water Buffalo,Bengal tiger,Indian Rhinoceros,Indian Elephant
What type of Indian animals are included in the so-called Big Four selection?,A,Poisonous snakes,Largest insects,Most dangerous animals,Largest land animals
"What interesting physical feature does the Nicobar Bulbul, endemic to the Nicobar Islands of India, possess?",D,It has a bright red beak.,Its tail is very long and yellow.,Its eyes are purple.,It has a dark cap on its head.
Which of these statements is not true about the Indian Elephant?,B,It has a smaller trunk than the African Elephant.,All of these,"Its abdomen is quite large compared to its skull, unlike African elephants.",It has larger ears than the African Elephant.
"What interesting resting posture does the Indian Treeshrew, a.k.a. Madras Treeshrew, have?",B,Sprawling on the ground as if its dead,With its tail resting on its head,Cuddling its rear legs,Hanging upside down from a branch
"What type of animal is the Indian Flying-fox, found in India, Bangladesh, China, and other parts of Asia?",A,Bat,Fox,Squirrel,Primate
Box Turtles are solitary creatures who neither want nor need companions.,A,True,False,,Q Turtles have poor vision and cannot see in color.
"In the winter, many turtles enter a dormant state called torpor which resembles hibernation .",B,False,True,,"Q Turtles are cold-blooded, meaning their internal temperature varies according to their outside environment."
The largest turtles are aquatic.,B,False,True,,Q Sea turtles have glands near their eyes that filter the salt out of sea water.
Turtles can stick out their tongues to catch food.,A,False,True,,Q The inner layer of the turtles shell contains 60 bones-- including parts of the turtles ribs and backbone.
A turtles eggs are leathery and soft.,B,False,True,,"Q A turtles lungs quickly break down, becoming less and less efficient over its lifetime."
Only sea turtles do not care for their young.,A,False,True,,Q Turtles can breathe underwater.
All aquatic turtles have flippers instead of feet.,A,False,True,,Q All turtles withdraw their head into their shell by contracting their neck to the side.
A turtles upper shell is called the plastron.,B,True,False,,"Q A turtles skin is made of scales, just like the skin of other reptiles."
What is the only place in the world you can see platypuses in the wild?,B,South-eastern Asia,Australia and Tasmania,Hawaii Island,South America
How do platypuses reproduce?,C,None of these,Platypuses reproduce asexually.,Platypuses lay eggs.,Platypuses are metatherian.
How does the platypus feed its young for the first three to four months?,D,The mother is feeding them with insects.,The mother is breastfeeding them.,The young rely on their yolk sacs for food.,"The mother is lactating, but she has no teats."
What is the weight range of normal mature platypuses?,D,Between 3.2 and 4.6 kg,From 2.5 to 5.5 kg,Between 0.5 to 2.8 kg,From 0.7 to 2.4 kg
Platypuses are venomous.,B,False,True,,Q Platypuses use this method to detect their prey.
What is the normal life span of a platypus in the wild?,B,Up to 22 years,Up to 11 years,Around 2 years,About 4 years
Which of these statements is true about the diet of the platypus?,A,Platypuses are carnivores.,Platypuses are herbivores.,Platypuses are specialized eaters.,Platypuses are omnivores.
The platypus needs to eat around 10% of its own weight every day.,B,True,False,,Q What is the normal body temperature of a healthy platypus?
What geographical region are chinchillas native to?,D,Asia,Africa,North America,South America
How is the chinchilla classified according to the peak of its activeness throughout the day?,C,None of these,Nocturnal,Crepuscular,Duirnal
What type of food do chinchillas prefer to feed on in the wild?,B,Plants,All of these,Insects,Fruits
What name is used for the social groups that chinchillas form when living in the wild?,B,Schools,Herds,Flocks,Troops
What chinchilla species has become extinct as a result of fur hunting?,C,All of these,Long-tailed Chinchilla,Giant Chinchilla,Red-nosed Chinchilla
In which of these studies are chinchillas used as animal models?,C,Studies of vocalization,Eyesight studies,Studies of the auditory system,Studies of the reproductive system
"If the ears of a chinchilla turn red, it is a sign of this condition.",D,It is pregnant.,The animal is in heat.,The animal is disturbed or angry.,Overheating
What kind of sounds do baby chinchillas produce in order to show their parents that they are hungry?,B,Hissing,Chirps,Barks,Clucking
What is the literal translation of the word lanigera in the name of the chinchilla species Chinchilla lanigera?,D,Long-tailed,Having long ears,Sleeping in straw,Wearing a woolen coat
"This cat breed, developed by American breeder Ann Baker, is large and has blue eyes and soft fluffy coat with point coloration.",A,Ragdoll,LaPerm,Egyptian Mau,Savannah
"This large cat breed, created in the United States, has rabbit-like fur of medium length, rectangular body, and a fatty pad in the lower abdomen.",D,Balinese,California Spangled Cat,Munchkin,Ragamuffin
"This cat breed occurred naturally, most probably in Egypt. It has silky short fur with special ticked coloration.",C,Korat,Sphynx,Abyssinian,Burmilla
"This very old cat breed, which occurred naturally in Turkey, has a slender body with medium length fur, usually white.",D,Ocicat,Cymric,Selkirk Rex,Turkish Angora
"This cat breed, which appeared naturally in Thailand, has a slim body and short fur with point coloration.",B,Himalayan,Siamese,Korat,Burmese
This hairless cat breed originated in Russia.,D,Don Sphynx,Donskoy,Don Hairless,All of these
"This cat breed occurred in Thailand, has very slim elongated body, short fur and very large ears.",A,Oriental Shorthair,Selkirk Rex,Singapura,Siamese
This exotic cat breed was developed in Kenya by crossbreeding between a Serval and a domestic cat.,D,Bengal,Maine Coon,Egyptian Mau,Savannah
This cat breed with curly hair appeared as a natural mutation in the United States.,B,Selkirk Rex,LaPerm,Kurilian Bobtail,American Curl
"What cat breed, which originated in France, has thick waterproof grey fur, gold-colored eyes and large muscular body?",A,Chartreux,Chausie,Pixie-bob,LaPerm
To what geographic area is the ostrich native?,B,Asia,Africa,South America and Africa,Europe and Africa
The feathers of adult male ostriches are primarily of this color.,D,White,Gray,Brown,Black
How many toes do ostriches have?,B,One toe,Two toes,Tree toes,Five toes
What important internal organ does the ostrich lack?,B,Liver,Gallbladder,Spleen,All of these
What defense method do ostriches use when they are attacked or feel threatened?,C,All of these,They bury their heads in the sand.,Kicking,They use their wings to beat the enemy.
What does the diet of ostriches consist of?,B,Insects,All of these,Seeds,Grass
What unusual anatomical feature does the male ostrich possess?,B,It has four testicles.,It has a copulatory organ.,It has a very small horn on its head.,All of these
Which is the largest subspecies of ostrich on the planet?,C,Southern Ostrich,Masai Ostrich,Red-necked Ostrich,Middle Eastern Ostrich
"Unlike other ostriches, this subspecies of ostrich has small feathers on its head.",B,Arabian Ostrich,Masai Ostrich,Somali Ostrich,North African Ostrich
Which subspecies of ostrich became extinct around 1966?,B,Red-necked Ostrich,Middle Eastern Ostrich,Southern Ostrich,Somali Ostrich
What are the anatomical differences between African elephants and Asian elephants?,A,All of these,In the tusks,In the ears,In the body size
Which elephant subspecies is the largest on the planet?,D,Sri Lankan Elephant,Indian Elephant,Forest Elephant,Savanna Elephant
Which is the smallest elephant subspecies on the planet?,B,Forest Elephant,Sumatran Elephant,Indian Elephant,Sri Lankan Elephant
What elephant species has two fingerlike projections at the end of its trunk?,C,Asian Elephant,All of these,African Elephant,Sri Lankan Elephant
The tusks of mature elephants stop growing when the animal reaches a certain age.,A,False,True,,Q What does the diet of elephants mostly consist of?
What statement is true about elephants mammary glands?,C,They have two pairs of mammary glands.,None of these,They have one pair of mammary glands.,They have only one mammary gland.
How long does the gestation period of elephants last?,A,22 months,30 months,18 months,12 months
How do elephants protect their skin from the aggressive UV-radiation?,C,By wallowing in their own feces,By hiding in the shadow of thick branches,By wallowing in mud,None of these
Why isnt the baby elephant able to control its trunk?,D,All of these,Because it is too heavy for it,Because it cannot feel it,Because it lacks muscle tone
Cockroaches belong to the order Blattaria. What is the meaning of the Latin word blatta?,A,Cockroach,Annoying,Fast,Pest
"Apart from the American cockroach, what other cockroach species is among the best-known pests?",D,Oriental cockroach,Asian cockroach,German cockroach,All of these
What type of animal is the cockroach when classified according to the peak of its activeness?,C,Diurnal,None of these,Nocturnal,Crepuscular
Which of these statements is true about the anatomy of cockroaches?,C,"They have two ocelli, or simple eyes.",They have two long antennae on their heads.,All of these,They have large compound eyes.
Which of these statements is true about cockroaches?,B,They are wingless and have six legs.,They have two pairs of wings and six legs.,They have two wings and eight legs.,They have have two wings and six legs.
What kind of interesting noise are cockroaches known to produce when they feel threatened?,A,Hissing,Crackling,Whistling,All of these
What organs do cockroaches use for the purpose of respiration?,D,All of these,Gills,Lungs,Tracheae
Which of these statements is true about the reproduction of cockroaches?,A,All of these,Male roaches use court rituals to attract the female.,"A few species can reproduce through parthenogenesis, or without the need of fertilization.",Males and females attract each other through pheromones.
How are cockroaches classified according to the way they deliver their young?,B,They are viviparous.,All of these,They are ovoviviparous.,They are oviparous.
Which of these statements is true about the cockroaches ability to survive in hard times?,D,They are able to slow down their heart rate.,Cockroaches can survive radiation up to 15 times stronger than the lethal dose for humans.,Some roaches can survive without food for about one month.,All of these
The pregnancy of this animal lasts from 2 to 3 years depending on the altitude it inhabits.,D,Spanish Imperial Eagle,Asian Elephant,All of these,Alpine Salamander
These animals are usually monogamous and both parents take care of their young.,B,Hedgehogs,Swans,All of these,Wolves
"For which of these animals is the following description true: The gestation period lasts 35–58 days. Smaller species have 5-6 babies, and larger species - 3-4 babies. The young are born blind.",A,Hedgehog,Lizard,Fox,Rabbit
Which of the following statements is true about scorpions?,A,They give birth to their young one by one.,They lay the eggs and they hatch almost immediately.,They lay eggs which hatch after 2 weeks.,None of these
The Gastric-brooding frog is an extinct species that is famous for this unique way of incubating its eggs.,D,The mother keeps the eggs inside her mouth until they hatch.,The female keeps the fertilized eggs in pouches along her abdomen.,The female keeps the eggs between her rear legs until they hatch.,The mother swallows the eggs and incubates them inside her stomach.
Which of these statements is true about the Jacksons Chameleon?,B,It lays about 15-30 eggs that hatch in 10 days.,It gives birth to 8-30 live young.,It lays about 5-10 eggs that hatch immediately.,It gives birth to 2-3 live young.
"Which of these statements is true about the Echidna, an egg-laying mammal?",B,The female lays 1 egg that hatches immediately.,The female lays 1 egg which she incubates in her pouch.,The female lays 3-5 eggs and incubates them for 26 days.,The female lays 2 eggs that are incubated by the male for 22 days.
Which of these statements is true about the German cockroach?,C,The female carries her eggs in a capsule.,The female lays about 40 eggs.,All of these,In rare cases live births can occur.
Which of these statements is true about the Seahorse?,A,All of these,The male Seahorse has a brooding pouch on the front side of his body.,The male and the female stay together for life.,The female produces dozens to thousands of eggs.
Which of these statements is true about the King Penguin?,C,They are serially monogamous.,Both parents take part in the incubation.,All of these,The female lays 1 single egg.
What name is commonly used to refer to the guinea pig?,D,Netty,Poppy,Willy,Cavy
